Fecha	Vista	
02/05/2018	90657371,83	
30/04/2018	296044558,02	
27/04/2018	43943218,54	
26/04/2018	210386520,69	
25/04/2018	82583710,61	
24/04/2018	236044773,15	
23/04/2018	292614671,96	
20/04/2018	130061924,28	
18/04/2018	26251254,60	
17/04/2018	71161035,17	
16/04/2018	98399423,52	
13/04/2018	93126205,52	
12/04/2018	17344064,50	
11/04/2018	80651332,35	
10/04/2018	192244367,19	
09/04/2018	84740992,97	
06/04/2018	287848337,31	
05/04/2018	93029141,07	
04/04/2018	198995996,58	
03/04/2018	68517570,56	
02/04/2018	140268614,82	
28/03/2018	212554087,81	
27/03/2018	163965180,89	
26/03/2018	174736550,20	
23/03/2018	8546493,44	
22/03/2018	31592853,11	
21/03/2018	267850895,44	
20/03/2018	165415185,92	
16/03/2018	215840832,99	
15/03/2018	188433219,58	
14/03/2018	94152950,85	
13/03/2018	102157499,03	
12/03/2018	31933325,29	
09/03/2018	289502461,54	
08/03/2018	98974687,07	
07/03/2018	211088351,95	
06/03/2018	56406266,83	
05/03/2018	70521385,03	
02/03/2018	101556105,42	
01/03/2018	125012615,41	
28/02/2018	147353107,88	
27/02/2018	259226343,59	
26/02/2018	125354962,34	
23/02/2018	109970607,71	
22/02/2018	64362805,59	
21/02/2018	149570494,41	
20/02/2018	34848587,84	
19/02/2018	88430933,20	
16/02/2018	72475803,24	
15/02/2018	134314056,79	
14/02/2018	196397557,47	
09/02/2018	279446656,78	
08/02/2018	265162068,40	
07/02/2018	240645242,45	
06/02/2018	36559939,09	
05/02/2018	184592392,77	
02/02/2018	236281026,66	
01/02/2018	31106326,31	
31/01/2018	131913583,23	
30/01/2018	184566169,00	
29/01/2018	1231372,47	
26/01/2018	107483233,76	
25/01/2018	70407073,47	
24/01/2018	257030069,92	
23/01/2018	90336714,00	
22/01/2018	96514430,53	
19/01/2018	146791909,16	
18/01/2018	296800111,38	
17/01/2018	231529715,53	
16/01/2018	35243550,15	
15/01/2018	242424736,90	
12/01/2018	108600261,80	
11/01/2018	53056600,03	
10/01/2018	241408966,56	
09/01/2018	84500501,44	
08/01/2018	61889663,10	
05/01/2018	243760402,29	
04/01/2018	151871095,17	
03/01/2018	103096717,53	
02/01/2018	39140266,34	
29/12/2017	276656030,16	
28/12/2017	108510393,67	
27/12/2017	274397229,84	
26/12/2017	41371783,98	
22/12/2017	278464175,98	
21/12/2017	130208121,36	
20/12/2017	187144778,56	
19/12/2017	48991975,96	
